Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
"AGE MODULATES THE LONG-TERM BUT NOT THE ACUTE EFFECTS OF THE SEROTONERGIC NEUROTOXICANT 3,4-METHYLENEDIOXYMETHAMPHETAMINE","BROENING, HW; BACON, L; SLIKKER, W",,1994,,JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,271,1,285-293,WOS:A1994PN49000037,,,#36655,BROENING 1994,Exclusion reason: Animal studies (non-human research); ,""
A long-term ecstasy-related change in visual perception,"Brown, J.; Edwards, M.; McKone, E.; Ward, J.",,2007,,Psychopharmacology,193,3,437-446,,10.1007/s00213-007-0785-0,,#41832,Brown 2007,Exclusion reason: Not an RCT; ,""
