date,download_count
2026-04-02,106
2026-04-03,107
2026-04-04,107
2026-04-05,107
2026-04-06,108
2026-04-07,108
2026-04-08,109
2026-04-09,110
2026-04-10,110
2026-04-11,110
2026-04-12,110
2026-04-13,110
2026-04-14,110
2026-04-15,110
2026-04-16,110
2026-04-17,110
2026-04-18,110
2026-04-19,110
2026-04-20,110
2026-04-21,110
2026-04-22,111
2026-04-23,111
2026-04-24,111
2026-04-25,111
2026-04-26,111
2026-04-27,111
2026-04-28,113
2026-04-29,116
2026-04-30,116
2026-05-01,116
2026-05-03,116
2026-05-04,116
2026-05-05,116
2026-05-06,116
2026-05-07,116
2026-05-08,116
2026-05-09,116
2026-05-10,122
2026-05-11,124
2026-05-12,124
2026-05-13,124
2026-05-14,124
2026-05-15,124
2026-05-16,124
2026-05-17,124
2026-05-18,124
2026-05-19,124
2026-05-20,124
2026-05-21,124
2026-05-22,129
2026-05-23,129
2026-05-24,129
2026-05-25,129
2026-05-26,129
2026-05-27,130
2026-05-28,131
2026-05-29,132
2026-05-30,132
2026-05-31,132
2026-06-01,132
2026-06-02,132
2026-06-03,132
2026-06-04,132
2026-06-05,132
2026-06-06,133
2026-06-07,134
2026-06-08,135
2026-06-09,135
2026-06-10,135
2026-06-11,135
2026-06-12,137
2026-06-13,139
2026-06-14,139
2026-06-15,139
2026-06-16,147
2026-06-17,156
2026-06-18,156
2026-06-19,156
2026-06-20,158
2026-06-21,158
2026-06-22,158
2026-06-23,159
2026-06-24,161
2026-06-25,161
2026-06-26,161
2026-06-27,161
2026-06-28,161
2026-06-29,161
2026-06-30,161
2026-07-01,161
2026-07-02,161
2026-07-03,161
2026-07-04,163
2026-07-05,167
2026-07-06,170
2026-07-07,173
2026-07-08,173
2026-07-09,173
2026-07-10,173
2026-07-11,175
2026-07-12,175
2026-07-13,184
2026-07-14,185
2026-07-15,185
2026-07-17,186
2026-07-18,186
2026-07-19,190
2026-07-20,191
2026-07-21,191
